Date,Open,High,Low,Close,Adj Close,Volume,Log Return
14-12-2020,122.599998,123.349998,121.540001,121.779999,121.779999,79184500,-0.005159969
11-12-2020,122.43,122.760002,120.550003,122.410004,122.410004,86939800,-0.006757559
10-12-2020,120.5,123.870003,120.150002,123.239998,123.239998,81312200,0.011917528
09-12-2020,124.529999,125.949997,121,121.779999,121.779999,115089200,-0.021125242
08-12-2020,124.370003,124.980003,123.089996,124.379997,124.379997,82225500,0.00507797
07-12-2020,122.309998,124.57,122.25,123.75,123.75,86712000,0.012195273
04-12-2020,122.599998,122.860001,121.519997,122.25,122.25,78260400,-0.005628319
03-12-2020,123.519997,123.779999,122.209999,122.940002,122.940002,78967600,-0.001138119
02-12-2020,122.019997,123.370003,120.889999,123.080002,123.080002,89004200,0.002929221
01-12-2020,121.010002,123.470001,120.010002,122.720001,122.720001,128166800,0.030361748
30-11-2020,116.970001,120.970001,116.809998,119.050003,119.050003,169410200,0.020880125
27-11-2020,116.57,117.489998,116.220001,116.589996,116.589996,46691300,0.004814703
25-11-2020,115.550003,116.75,115.169998,116.029999,116.029999,76499200,0.007439489
24-11-2020,113.910004,115.849998,112.589996,115.169998,115.169998,113874200,0.011527505
23-11-2020,117.18,117.620003,113.75,113.849998,113.849998,127959300,-0.030193894
20-11-2020,118.639999,118.769997,117.290001,117.339996,117.339996,73604300,-0.01101802
19-11-2020,117.589996,119.059998,116.809998,118.639999,118.639999,74113000,0.005154868
18-11-2020,118.610001,119.82,118,118.029999,118.029999,76322100,-0.011456616
17-11-2020,119.550003,120.669998,118.959999,119.389999,119.389999,74271000,-0.007593211
16-11-2020,118.919998,120.989998,118.150002,120.300003,120.300003,91183000,0.008682647
13-11-2020,119.440002,119.669998,117.870003,119.260002,119.260002,81581900,0.000419365
12-11-2020,119.620003,120.529999,118.57,119.209999,119.209999,103162300,-0.002346034
11-11-2020,117.190002,119.629997,116.440002,119.489998,119.489998,112295000,0.029901124
10-11-2020,115.550003,117.589996,114.129997,115.970001,115.970001,138023400,-0.003013468
09-11-2020,120.5,121.989998,116.050003,116.32,116.32,154515300,-0.020170055
06-11-2020,118.32,119.199997,116.129997,118.690002,118.690002,114457900,-0.001136728
05-11-2020,117.949997,119.620003,116.870003,119.029999,118.824997,126387100,0.034878328
04-11-2020,114.139999,115.589996,112.349998,114.949997,114.752022,138235500,0.040024824
03-11-2020,109.660004,111.489998,108.730003,110.440002,110.249794,107624400,0.015236883
02-11-2020,109.110001,110.68,107.32,108.769997,108.582664,122866900,-0.000827156
30-10-2020,111.059998,111.989998,107.720001,108.860001,108.672516,190272600,-0.057648165
29-10-2020,112.370003,116.93,112.199997,115.32,115.121384,146129200,0.036380526
28-10-2020,115.050003,115.43,111.099998,111.199997,111.008476,143937800,-0.047418915
27-10-2020,115.489998,117.279999,114.540001,116.599998,116.399178,92276800,0.013382419
26-10-2020,114.010002,116.550003,112.879997,115.050003,114.851852,111850700,8.68896E-05
23-10-2020,116.389999,116.550003,114.279999,115.040001,114.841873,82572600,-0.006152745
22-10-2020,117.449997,118.040001,114.589996,115.75,115.550644,101988000,-0.00962959
21-10-2020,116.669998,118.709999,116.449997,116.870003,116.668724,89946000,-0.00546119
20-10-2020,116.199997,118.980003,115.629997,117.510002,117.307617,124423700,0.013105683
19-10-2020,119.959999,120.419998,115.660004,115.980003,115.780251,120639300,-0.025873739
16-10-2020,121.279999,121.550003,118.809998,119.019997,118.81501,115393800,-0.014099484
15-10-2020,118.720001,121.199997,118.150002,120.709999,120.502106,112559200,-0.003968568
14-10-2020,121,123.029999,119.620003,121.190002,120.981277,151062300,0.000742895
