Date,Open,High,Low,Close,Adj Close,Volume,Log Return
09-11-2020,485.540009,495.850006,467.26001,470.5,470.5,10419700,-0.089846493
06-11-2020,515,515.210022,502.51001,514.72998,514.72998,4236300,0.001886203
05-11-2020,506.559998,518.72998,503.450012,513.76001,513.76001,5372800,0.033266808
04-11-2020,495.359985,507.730011,493.980011,496.950012,496.950012,5137300,0.019773673
03-11-2020,484.929993,495.309998,478.76001,487.220001,487.220001,3690200,0.006382969
02-11-2020,478.869995,486.299988,475,484.119995,484.119995,4408200,0.017461334
30-10-2020,502.01001,505.880005,472.209991,475.73999,475.73999,7807900,-0.058121365
29-10-2020,488.5,513.900024,479.339996,504.209991,504.209991,11120700,0.036290522
28-10-2020,486.359985,494,483.279999,486.23999,486.23999,5992700,-0.005517007
27-10-2020,490.01001,490.48999,482.929993,488.929993,488.929993,3627200,0.001412248
26-10-2020,487.029999,496.820007,478.899994,488.23999,488.23999,6186100,-8.1942E-05
23-10-2020,488.109985,490.059998,481.350006,488.279999,488.279999,4927900,0.006265982
22-10-2020,494.690002,495.140015,482,485.230011,485.230011,6997900,-0.007841681
21-10-2020,501.029999,506.850006,488.25,489.049988,489.049988,17405700,-0.071733201
20-10-2020,528.140015,533.780029,522.26001,525.419983,525.419983,10047200,-0.01003661
19-10-2020,537.070007,541.799988,525.380005,530.719971,530.719971,7567500,-0.000131901
16-10-2020,549.5,554.330017,530.030029,530.789978,530.789978,6347400,-0.020788877
15-10-2020,545.52002,551.219971,535.099976,541.940002,541.940002,5113100,0.00090455
14-10-2020,562.609985,572.48999,541,541.450012,541.450012,9510100,-0.023076429
13-10-2020,540.559998,557.650024,537.200012,554.090027,554.090027,5602500,0.026109955
12-10-2020,548.809998,551.809998,538.23999,539.809998,539.809998,5391100,0.000685654
09-10-2020,537.830017,544.280029,535,539.440002,539.440002,4781300,0.014282935
08-10-2020,533.47998,535,524.150024,531.789978,531.789978,5386500,-0.005382347
07-10-2020,518,536.48999,515.820007,534.659973,534.659973,7988700,0.055351271
06-10-2020,518.719971,521.820007,504.160004,505.869995,505.869995,4199000,-0.028798368
05-10-2020,506.799988,520.98999,501.700012,520.650024,520.650024,4088100,0.034368634
02-10-2020,516.429993,526.369995,502.700012,503.059998,503.059998,6071200,-0.047458398
01-10-2020,506.029999,529.549988,503.600006,527.51001,527.51001,8153700,0.053499747
30-09-2020,492.570007,504.630005,489.269989,500.029999,500.029999,4631100,0.013185741
29-09-2020,489.5,496.290009,486.529999,493.480011,493.480011,3541500,0.005751323
28-09-2020,489.109985,492,477.880005,490.649994,490.649994,4773500,0.015962844
25-09-2020,474.390015,484.869995,468.029999,482.880005,482.880005,3769400,0.020503706
24-09-2020,470.529999,477,467.820007,473.079987,473.079987,3727200,0.005234786
23-09-2020,491.040009,491.040009,469,470.609985,470.609985,3726400,-0.042760633
22-09-2020,489.01001,491.820007,479.26001,491.170013,491.170013,3482300,0.007807763
21-09-2020,467.690002,487.779999,466.320007,487.350006,487.350006,5457500,0.036334998
18-09-2020,472.51001,479.399994,458.600006,469.959991,469.959991,6717700,-0.000510596
17-09-2020,475.160004,478.399994,463.269989,470.200012,470.200012,5379300,-0.028637416
16-09-2020,499.98999,504.660004,483.309998,483.859985,483.859985,4394900,-0.024760167
15-09-2020,484,497.470001,481.630005,495.98999,495.98999,5337000,0.0405918
14-09-2020,480.619995,488.98999,471.299988,476.26001,476.26001,7359100,-0.012042406
11-09-2020,486.48999,493.730011,476.809998,482.029999,482.029999,5035200,0.00282536
10-09-2020,503.350006,506.290009,478.839996,480.670013,480.670013,6240200,-0.039807039
09-09-2020,519.210022,520,492.570007,500.190002,500.190002,6848100,-0.013562399
08-09-2020,498.399994,522,495,507.019989,507.019989,5572700,-0.017653208
04-09-2020,520.179993,527.359985,485.980011,516.049988,516.049988,8270100,-0.018622178
03-09-2020,545,554,521.320007,525.75,525.75,9071100,-0.050242863
02-09-2020,553.780029,556.5,537.369995,552.840027,552.840027,5886900,-0.006688315
01-09-2020,532.599976,557.390015,532.450012,556.549988,556.549988,9581900,0.049710523
31-08-2020,521.159973,531.98999,517.580017,529.559998,529.559998,4941400,0.010764702
28-08-2020,532,539,522,523.890015,523.890015,4417500,-0.00453266
27-08-2020,537.780029,541,521.25,526.27002,526.27002,9062900,-0.039602881
26-08-2020,492.5,549.039978,492.079987,547.530029,547.530029,20373700,0.10982897
25-08-2020,488.190002,492.470001,485.089996,490.579987,490.579987,5727700,0.003614476
24-08-2020,495.440002,501,483.160004,488.809998,488.809998,4762200,-0.007134733
21-08-2020,496.459991,498.130005,490,492.309998,492.309998,3921300,-0.011290646
20-08-2020,484.690002,498.940002,483.890015,497.899994,497.899994,5132500,0.027219895
19-08-2020,493.929993,494.5,483.5,484.529999,484.529999,3156200,-0.015035097
18-08-2020,484.350006,495.299988,482.799988,491.869995,491.869995,3505500,0.01954444
17-08-2020,484.190002,486.23999,479.100006,482.350006,482.350006,2423500,-0.00068389
14-08-2020,482.820007,488.329987,480.209991,482.679993,482.679993,2943500,0.002800815
13-08-2020,478.399994,484.450012,476.450012,481.329987,481.329987,3008900,0.012249288
