Date,Open,High,Low,Close,Adj Close,Volume,Log Return
17-07-2020,3009,3024,2948.449951,2961.969971,2961.969971,4761300,-0.012724344
16-07-2020,2971.060059,3032,2918.22998,2999.899902,2999.899902,6394200,-0.00298571
15-07-2020,3080.22998,3098.350098,2973.179932,3008.870117,3008.870117,5788900,-0.024662824
14-07-2020,3089,3127.379883,2950,3084,3084,7231900,-0.006464147
13-07-2020,3251.060059,3344.290039,3068.389893,3104,3104,7720400,-0.030459207
10-07-2020,3191.76001,3215,3135.699951,3200,3200,5486000,0.005442948
09-07-2020,3115.98999,3193.879883,3074,3182.629883,3182.629883,6388700,0.032417906
08-07-2020,3022.610107,3083.969971,3012.429932,3081.110107,3081.110107,5037600,0.02663763
07-07-2020,3058.550049,3069.550049,2990,3000.120117,3000.120117,5257500,-0.018794813
06-07-2020,2934.969971,3059.879883,2930,3057.040039,3057.040039,6880600,0.05608682
02-07-2020,2912.01001,2955.560059,2871.100098,2890.300049,2890.300049,6593400,0.004021534
01-07-2020,2757.98999,2895,2754,2878.699951,2878.699951,6363400,0.04253571
30-06-2020,2685.070068,2769.629883,2675.030029,2758.820068,2758.820068,3769700,0.028844545
29-06-2020,2690.01001,2696.800049,2630.080078,2680.379883,2680.379883,4223400,-0.004649051
26-06-2020,2775.060059,2782.570068,2688,2692.870117,2692.870117,6500800,-0.022657426
25-06-2020,2739.550049,2756.22998,2712.139893,2754.580078,2754.580078,2968700,0.007353012
24-06-2020,2780,2796,2721,2734.399902,2734.399902,4526600,-0.010915201
23-06-2020,2726.02002,2783.110107,2718.040039,2764.409912,2764.409912,4231700,0.018469937
22-06-2020,2684.5,2715,2669,2713.820068,2713.820068,3208800,0.014404139
19-06-2020,2678.080078,2697.429932,2659,2675.01001,2675.01001,5777000,0.00789273
18-06-2020,2647.01001,2659.639893,2636.110107,2653.97998,2653.97998,2487800,0.00491034
17-06-2020,2647.5,2655,2631.820068,2640.97998,2640.97998,2951100,0.009782703
16-06-2020,2620,2620,2576,2615.27002,2615.27002,3585600,0.01641922
15-06-2020,2526.600098,2584,2508,2572.679932,2572.679932,3865100,0.010809614
12-06-2020,2601.209961,2621.47998,2503.350098,2545.02002,2545.02002,5429600,-0.005071534
11-06-2020,2603.5,2671.379883,2536.22998,2557.959961,2557.959961,5800100,-0.034386843
10-06-2020,2645,2722.350098,2626.26001,2647.449951,2647.449951,4946000,0.017754693
09-06-2020,2529.439941,2626.429932,2525,2600.860107,2600.860107,5176000,0.029973461
08-06-2020,2500.199951,2530,2487.340088,2524.060059,2524.060059,3970700,0.016401233
05-06-2020,2444.51001,2488.649902,2437.129883,2483,2483,3306400,0.009062244
04-06-2020,2477.429932,2507.540039,2450.01001,2460.600098,2460.600098,2948700,-0.007207889
03-06-2020,2468.01001,2488,2461.169922,2478.399902,2478.399902,2671000,0.002419803
02-06-2020,2467,2473.530029,2445.310059,2472.409912,2472.409912,2529900,0.000554217
01-06-2020,2448,2476.929932,2444.169922,2471.040039,2471.040039,2928900,0.011670203
29-05-2020,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117,3529300,0.017041921
28-05-2020,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098,3190200,-0.003861509
27-05-2020,2404.98999,2413.580078,2330,2410.389893,2410.389893,5056900,-0.004747368
26-05-2020,2458,2462,2414.060059,2421.860107,2421.860107,3568200,-0.0061826
22-05-2020,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883,2867100,-0.004038038
21-05-2020,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400,-0.020709846
20-05-2020,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100,0.019651819
19-05-2020,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500,0.009463568
18-05-2020,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600,0.006815512
15-05-2020,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000,0.008723349
14-05-2020,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100,0.00880022
13-05-2020,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900,0.00464351
12-05-2020,2411.850098,2419,2355,2356.949951,2356.949951,3074900,-0.021843334
11-05-2020,2374.699951,2419.669922,2372.110107,2409,2409,3259200,0.01227507
08-05-2020,2372.139893,2387.23999,2357,2379.610107,2379.610107,3211200,0.005055601
07-05-2020,2374.780029,2376,2343.110107,2367.610107,2367.610107,3396400,0.006929694
06-05-2020,2329.439941,2357.449951,2320,2351.26001,2351.26001,3117800,0.014332878
05-05-2020,2340,2351,2307.129883,2317.800049,2317.800049,3242500,0.000781243
04-05-2020,2256.379883,2326.97998,2256.379883,2315.98999,2315.98999,4865900,0.013016158
01-05-2020,2336.800049,2362.439941,2258.189941,2286.040039,2286.040039,9772600,-0.079015194
30-04-2020,2419.840088,2475,2396.01001,2474,2474,9534600,0.041803529
29-04-2020,2330.01001,2391.889893,2310,2372.709961,2372.709961,4591600,0.025020511
28-04-2020,2372.100098,2373.5,2306,2314.080078,2314.080078,5269400,-0.026406167
27-04-2020,2443.199951,2444.879883,2363,2376,2376,5645600,-0.014299616
